D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
QWEN_7B_chainofthought,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
GPT_4O_chainofthought,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
GPT-OSS_120B_declarative,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
LLAMA3_1_70B_declarative,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
LLAMA3_70B_declarative,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
PHI3_INSTRUCT_declarative,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN2_5VL_32B_declarative,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
QWEN2_5VL_72B_declarative,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
QWEN2_5VL_7B_declarative,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN3_32B_declarative,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
QWEN_7B_declarative,1.0,,0.0,,2.0,1.0,1.0,1.0
GPT_4O_declarative,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
GPT-OSS_120B_explicit,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
LLAMA3_1_70B_explicit,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
LLAMA3_70B_explicit,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
PHI3_INSTRUCT_explicit,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
QWEN2_5VL_32B_explicit,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
QWEN2_5VL_72B_explicit,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
QWEN2_5VL_7B_explicit,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
QWEN3_32B_explicit,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
QWEN_7B_explicit,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
GPT_4O_explicit,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
GPT-OSS_120B_parantheses,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
LLAMA3_1_70B_parantheses,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
LLAMA3_70B_parantheses,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
PHI3_INSTRUCT_parantheses,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
QWEN2_5VL_32B_parantheses,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
QWEN2_5VL_72B_parantheses,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0
QWEN2_5VL_7B_parantheses,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN3_32B_parantheses,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0
QWEN_7B_parantheses,1.0,1.0,2.0,1.0,2.0,,2.0,1.0
GPT_4O_parantheses,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0
GPT-OSS_120B_roleplay,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
LLAMA3_1_70B_roleplay,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
LLAMA3_70B_roleplay,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
PHI3_INSTRUCT_roleplay,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN2_5VL_32B_roleplay,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0
QWEN2_5VL_72B_roleplay,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
QWEN2_5VL_7B_roleplay,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
QWEN3_32B_roleplay,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
QWEN_7B_roleplay,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
GPT_4O_roleplay,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
