D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
484071734,3.0,1.0,4.0,4.0,3.0,3.0,3.0
484071735,3.0,2.0,4.0,4.0,2.0,2.0,3.0
484071736,1.0,1.0,3.0,4.0,2.0,2.0,3.0
484071737,1.0,1.0,3.0,3.0,2.0,2.0,3.0
484071738,1.0,1.0,4.0,4.0,2.0,2.0,3.0
484071739,2.0,1.0,1.0,2.0,2.0,2.0,2.0
484071740,2.0,1.0,4.0,3.0,4.0,1.0,1.0
484071741,4.0,1.0,4.0,4.0,4.0,4.0,4.0
GPT-OSS_120B_baseline,3.0,2.0,2.0,3.0,3.0,2.0,2.0
LLAMA3_1_70B_baseline,2.0,2.0,2.0,2.0,2.0,3.0,1.0
LLAMA3_70B_baseline,2.0,2.0,2.0,4.0,1.0,3.0,2.0
PHI3_INSTRUCT_baseline,4.0,4.0,2.0,3.0,2.0,3.0,2.0
QWEN2_5VL_32B_baseline,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN2_5VL_72B_baseline,3.0,2.0,4.0,4.0,2.0,3.0,3.0
QWEN2_5VL_7B_baseline,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN3_32B_baseline,2.0,2.0,3.0,2.0,2.0,2.0,2.0
QWEN_7B_baseline,4.0,2.0,4.0,4.0,4.0,4.0,4.0
GPT_4O_baseline,3.0,2.0,4.0,,3.0,3.0,
GPT-OSS_120B_chainofthought,3.0,3.0,2.0,3.0,2.0,2.0,3.0
LLAMA3_1_70B_chainofthought,2.0,2.0,2.0,2.0,,3.0,
LLAMA3_70B_chainofthought,2.0,2.0,2.0,2.0,3.0,2.0,3.0
PHI3_INSTRUCT_chainofthought,2.0,2.0,2.0,2.0,2.0,2.0,2.0
QWEN2_5VL_32B_chainofthought,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN2_5VL_72B_chainofthought,3.0,2.0,3.0,3.0,3.0,3.0,3.0
QWEN2_5VL_7B_chainofthought,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN3_32B_chainofthought,2.0,2.0,3.0,3.0,2.0,2.0,1.0
QWEN_7B_chainofthought,3.0,3.0,4.0,4.0,3.0,4.0,4.0
GPT_4O_chainofthought,2.0,2.0,2.0,3.0,3.0,2.0,
GPT-OSS_120B_declarative,2.0,3.0,2.0,3.0,2.0,2.0,2.0
LLAMA3_1_70B_declarative,3.0,2.0,2.0,4.0,,2.0,
LLAMA3_70B_declarative,2.0,2.0,2.0,2.0,,3.0,2.0
PHI3_INSTRUCT_declarative,3.0,2.0,2.0,2.0,2.0,2.0,2.0
QWEN2_5VL_32B_declarative,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN2_5VL_72B_declarative,3.0,2.0,3.0,4.0,3.0,3.0,3.0
QWEN2_5VL_7B_declarative,2.0,3.0,3.0,1.0,3.0,3.0,3.0
QWEN3_32B_declarative,3.0,2.0,3.0,3.0,2.0,3.0,2.0
QWEN_7B_declarative,2.0,2.0,3.0,2.0,2.0,4.0,1.0
GPT_4O_declarative,2.0,3.0,3.0,3.0,3.0,3.0,3.0
GPT-OSS_120B_explicit,2.0,3.0,2.0,3.0,2.0,2.0,
LLAMA3_1_70B_explicit,2.0,2.0,2.0,2.0,2.0,2.0,2.0
LLAMA3_70B_explicit,3.0,2.0,2.0,2.0,2.0,2.0,3.0
PHI3_INSTRUCT_explicit,4.0,2.0,2.0,2.0,2.0,2.0,2.0
QWEN2_5VL_32B_explicit,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN2_5VL_72B_explicit,3.0,2.0,3.0,4.0,2.0,2.0,2.0
QWEN2_5VL_7B_explicit,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN3_32B_explicit,2.0,2.0,2.0,3.0,2.0,2.0,2.0
QWEN_7B_explicit,4.0,2.0,2.0,4.0,4.0,4.0,4.0
GPT_4O_explicit,3.0,2.0,3.0,2.0,3.0,3.0,
GPT-OSS_120B_parantheses,2.0,2.0,2.0,3.0,2.0,2.0,
LLAMA3_1_70B_parantheses,2.0,1.0,,,,2.0,4.0
LLAMA3_70B_parantheses,3.0,2.0,2.0,4.0,3.0,2.0,2.0
PHI3_INSTRUCT_parantheses,3.0,2.0,3.0,2.0,2.0,3.0,2.0
QWEN2_5VL_32B_parantheses,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN2_5VL_72B_parantheses,3.0,2.0,3.0,4.0,3.0,2.0,3.0
QWEN2_5VL_7B_parantheses,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN3_32B_parantheses,2.0,3.0,2.0,3.0,2.0,2.0,2.0
QWEN_7B_parantheses,4.0,3.0,4.0,4.0,4.0,4.0,4.0
GPT_4O_parantheses,,3.0,,,,,
GPT-OSS_120B_roleplay,3.0,2.0,2.0,3.0,2.0,2.0,3.0
LLAMA3_1_70B_roleplay,2.0,3.0,2.0,2.0,2.0,2.0,2.0
LLAMA3_70B_roleplay,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PHI3_INSTRUCT_roleplay,2.0,2.0,2.0,1.0,2.0,2.0,
QWEN2_5VL_32B_roleplay,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN2_5VL_72B_roleplay,3.0,2.0,3.0,4.0,3.0,3.0,2.0
QWEN2_5VL_7B_roleplay,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QWEN3_32B_roleplay,2.0,2.0,3.0,3.0,2.0,3.0,2.0
QWEN_7B_roleplay,4.0,4.0,3.0,4.0,4.0,4.0,4.0
GPT_4O_roleplay,3.0,3.0,4.0,3.0,4.0,4.0,
